goos: darwin
goarch: arm64
pkg: github.com/binsarjr/sveltego/bench
cpu: Apple M1 Pro
BenchmarkServeHTTP_StaticNoLoad-10    	  662814	      1925 ns/op	    2928 B/op	      31 allocs/op
BenchmarkServeHTTP_StaticNoLoad-10    	  595280	      1893 ns/op	    2928 B/op	      31 allocs/op
BenchmarkServeHTTP_StaticNoLoad-10    	  662376	      1884 ns/op	    2928 B/op	      31 allocs/op
BenchmarkServeHTTP_StaticNoLoad-10    	  606580	      1818 ns/op	    2928 B/op	      31 allocs/op
BenchmarkServeHTTP_StaticNoLoad-10    	  701509	      1852 ns/op	    2928 B/op	      31 allocs/op
BenchmarkRouteResolution-10           	 7498322	       142.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkRouteResolution-10           	 8868124	       140.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkRouteResolution-10           	 8527771	       144.6 ns/op	     336 B/op	       2 allocs/op
BenchmarkRouteResolution-10           	 8734890	       168.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkRouteResolution-10           	 8535912	       137.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkRouteResolution-10           	 8761860	       137.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkRenderWriter-10              	64774848	        18.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkRenderWriter-10              	66205219	        18.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkRenderWriter-10              	66650929	        18.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRenderWriter-10              	65205282	        18.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkRenderWriter-10              	66315745	        18.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkRenderWriter-10              	65513061	        18.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkManifestColdStart-10         	  488814	      2586 ns/op	    7731 B/op	      43 allocs/op
BenchmarkManifestColdStart-10         	  465373	      2503 ns/op	    7731 B/op	      43 allocs/op
BenchmarkManifestColdStart-10         	  483194	      2568 ns/op	    7731 B/op	      43 allocs/op
BenchmarkManifestColdStart-10         	  496722	      2583 ns/op	    7731 B/op	      43 allocs/op
BenchmarkManifestColdStart-10         	  472416	      2464 ns/op	    7731 B/op	      43 allocs/op
BenchmarkManifestColdStart-10         	  510098	      2580 ns/op	    7731 B/op	      43 allocs/op
PASS
ok  	github.com/binsarjr/sveltego/bench	106.425s
